question_id,turn,category,original_chars,expanded_chars,ratio,length_ok,numbers_ok,attempts
148,2,stem,718,1870,2.60,True,True,1
149,1,stem,478,1247,2.61,True,True,1
149,2,stem,490,1866,3.81,True,True,1
150,1,stem,656,3816,5.82,True,True,4
150,2,stem,625,2052,3.28,True,True,1
151,1,humanities,648,1683,2.60,True,True,1
151,2,humanities,456,1382,3.03,True,True,1
152,1,humanities,564,2369,4.20,True,True,1
152,2,humanities,289,643,2.22,True,True,1
153,1,humanities,971,2777,2.86,True,True,1
153,2,humanities,751,2410,3.21,True,True,1
154,1,humanities,947,2943,3.11,True,True,1
154,2,humanities,1019,7122,6.99,True,False,1
155,1,humanities,587,5317,9.06,True,False,4
155,2,humanities,845,2296,2.72,True,True,2
156,1,humanities,725,4696,6.48,True,False,4
156,2,humanities,765,3490,4.56,True,True,3
157,1,humanities,526,4095,7.79,True,False,3
157,2,humanities,794,3171,3.99,True,True,1
158,1,humanities,548,1573,2.87,True,True,1
158,2,humanities,864,1924,2.23,True,True,1
159,1,humanities,595,1661,2.79,True,True,1
159,2,humanities,939,3666,3.90,True,True,1
160,1,humanities,804,3555,4.42,True,True,2
160,2,humanities,584,1448,2.48,True,True,1
