question_id,turn,category,original_chars,rewritten_chars,ratio,length_ok,numbers_ok,attempts
109,2,reasoning,184,249,1.35,True,True,1
110,1,reasoning,275,406,1.48,True,True,1
110,2,reasoning,504,695,1.38,True,True,1
111,1,math,146,207,1.42,True,True,1
111,2,math,158,226,1.43,True,True,1
112,1,math,64,98,1.53,True,True,1
112,2,math,99,156,1.58,True,True,1
113,1,math,111,147,1.32,True,True,1
113,2,math,40,63,1.57,True,True,1
114,1,math,130,170,1.31,True,True,1
114,2,math,93,138,1.48,True,True,1
115,1,math,145,190,1.31,True,True,1
115,2,math,162,216,1.33,True,True,1
116,1,math,34,52,1.53,True,True,1
116,2,math,71,106,1.49,True,True,1
117,1,math,55,88,1.60,True,True,1
117,2,math,81,118,1.46,True,True,1
118,1,math,72,97,1.35,True,True,1
118,2,math,60,92,1.53,True,True,1
119,1,math,106,166,1.57,True,True,1
119,2,math,35,56,1.60,True,True,1
120,1,math,35,55,1.57,True,True,1
120,2,math,109,170,1.56,True,True,2
121,1,coding,666,903,1.36,True,True,1
121,2,coding,720,1050,1.46,True,True,1
122,1,coding,406,522,1.29,True,True,1
122,2,coding,370,483,1.31,True,True,1
123,1,coding,602,801,1.33,True,True,1
123,2,coding,177,252,1.42,True,True,1
124,1,coding,266,358,1.35,True,True,1
124,2,coding,238,319,1.34,True,True,1
125,1,coding,479,622,1.30,True,True,1
125,2,coding,484,636,1.31,True,True,1
126,1,coding,428,575,1.34,True,True,1
126,2,coding,685,997,1.46,True,True,1
127,1,coding,264,356,1.35,True,True,1
127,2,coding,377,487,1.29,True,True,1
128,1,coding,336,428,1.27,True,True,1
128,2,coding,450,584,1.30,True,True,1
129,1,coding,261,374,1.43,True,True,1
129,2,coding,451,587,1.30,True,True,1
130,1,coding,403,531,1.32,True,True,1
130,2,coding,419,550,1.31,True,True,1
131,1,extraction,15,23,1.53,True,True,1
131,2,extraction,123,158,1.28,True,True,1
132,1,extraction,38,60,1.58,True,True,1
132,2,extraction,115,184,1.60,True,True,1
133,1,extraction,253,337,1.33,True,True,1
133,2,extraction,288,393,1.36,True,True,1
134,1,extraction,95,129,1.36,True,True,1
134,2,extraction,136,186,1.37,True,True,1
135,1,extraction,206,309,1.50,True,True,1
135,2,extraction,176,243,1.38,True,True,1
136,1,extraction,33,51,1.55,True,True,1
136,2,extraction,28,44,1.57,True,True,1
137,1,extraction,157,241,1.54,True,True,1
137,2,extraction,84,127,1.51,True,True,1
138,1,extraction,62,91,1.47,True,True,1
138,2,extraction,62,94,1.52,True,True,1
139,1,extraction,129,196,1.52,True,True,1
139,2,extraction,202,316,1.56,True,True,1
140,1,extraction,106,167,1.58,True,True,1
140,2,extraction,186,258,1.39,True,True,2
141,1,stem,431,672,1.56,True,True,1
141,2,stem,522,736,1.41,True,True,1
142,1,stem,426,591,1.39,True,True,1
142,2,stem,581,775,1.33,True,True,1
143,1,stem,459,611,1.33,True,True,1
143,2,stem,700,912,1.30,True,True,1
144,1,stem,467,614,1.31,True,True,1
144,2,stem,317,412,1.30,True,True,1
145,1,stem,423,561,1.33,True,True,1
145,2,stem,332,426,1.28,True,True,1
146,1,stem,398,547,1.37,True,True,1
146,2,stem,445,583,1.31,True,True,1
147,1,stem,764,1047,1.37,True,True,1
147,2,stem,745,1109,1.49,True,True,1
148,1,stem,582,836,1.44,True,True,1
148,2,stem,718,976,1.36,True,True,1
149,1,stem,478,634,1.33,True,True,1
149,2,stem,490,682,1.39,True,True,1
150,1,stem,656,919,1.40,True,True,1
150,2,stem,625,828,1.32,True,True,1
151,1,humanities,648,926,1.43,True,True,1
151,2,humanities,456,595,1.30,True,True,1
152,1,humanities,564,810,1.44,True,True,1
152,2,humanities,289,367,1.27,True,True,1
153,1,humanities,971,1218,1.25,True,True,1
153,2,humanities,751,1000,1.33,True,True,1
154,1,humanities,947,1276,1.35,True,True,1
154,2,humanities,1019,1496,1.47,True,True,1
155,1,humanities,587,840,1.43,True,True,1
155,2,humanities,845,1124,1.33,True,True,1
156,1,humanities,725,955,1.32,True,True,1
156,2,humanities,765,995,1.30,True,True,1
157,1,humanities,526,694,1.32,True,True,1
157,2,humanities,794,1050,1.32,True,True,1
158,1,humanities,548,740,1.35,True,True,1
158,2,humanities,864,1127,1.30,True,True,1
159,1,humanities,595,802,1.35,True,True,1
159,2,humanities,939,1315,1.40,True,True,1
160,1,humanities,804,1107,1.38,True,True,1
160,2,humanities,584,724,1.24,True,True,1
